run_id,source_file,source_row,version,attack_name,model_id,dataset_name,seed,num_clients,clients_per_round,federated_rounds,local_epochs,max_length,threshold,gradient_threshold,ldp_mechanism,rag_enabled,n,members,nonmembers,tp,fn,fp,tn,tpr,fpr,balanced_accuracy,advantage,auc,constant_prediction,unique_scores
loss_federated_llm_adaptation_v1_6b867aebd9da4cc2,1-firexport_basic_1789247974262.csv,2,legacy,loss,distilgpt2,squad,7,2,2,1,1,64,,,,False,6,3,3,2,1,1,2,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.7777777777777778,False,6
0020bc6b33b55c43,2-firexport_basic_1789247966014.csv,2,legacy,neighborhood,distilgpt2,squad,7,2,2,1,1,64,0.02,,,False,6,3,3,3,0,3,0,1.0,1.0,0.5,0.0,0.6666666666666666,True,6
03320ea8801b3520,2-firexport_basic_1789247966014.csv,3,legacy,neighborhood,distilgpt2,squad,7,2,2,1,4,64,0.02,,,False,6,3,3,3,0,3,0,1.0,1.0,0.5,0.0,0.7777777777777778,True,6
041e22a11fbb2bb6,2-firexport_basic_1789247966014.csv,4,legacy,spv_mia,distilgpt2,nq_open,7,2,2,1,1,64,0,,,False,6,3,3,2,1,2,1,0.6666666666666666,0.6666666666666666,0.5,0.0,0.6666666666666666,False,6
04cd7a737ebbbb1d,2-firexport_basic_1789247966014.csv,5,legacy,min_k,distilgpt2,trivia_qa,7,2,2,1,1,64,-4.08,,,False,6,3,3,0,3,0,3,0.0,0.0,0.5,0.0,0.6666666666666666,True,6
09f8a9ae0eae5e6a,2-firexport_basic_1789247966014.csv,6,legacy,zlib,distilgpt2,squad,7,2,2,1,1,64,-0.0058,,,False,6,3,3,1,2,1,2,0.3333333333333333,0.3333333333333333,0.5,0.0,0.6666666666666666,False,6
0b67fef78c1b2162,2-firexport_basic_1789247966014.csv,7,legacy,reference,distilgpt2,squad,101,2,2,1,1,64,0.25,,,False,6,3,3,2,1,0,3,0.6666666666666666,0.0,0.8333333333333333,0.6666666666666666,1.0,False,6
0b8f0f4299f53748,2-firexport_basic_1789247966014.csv,8,legacy,reference,distilgpt2,corporate_enron,7,2,2,1,1,64,0.25,,,False,6,3,3,3,0,2,1,1.0,0.6666666666666666,0.6666666666666666,0.33333333333333337,1.0,False,6
0bee47c53e33d7c0,2-firexport_basic_1789247966014.csv,9,legacy,neighborhood,distilgpt2,corporate_enron,7,2,2,1,1,64,0.02,,,False,6,3,3,3,0,3,0,1.0,1.0,0.5,0.0,0.7777777777777778,True,6
0c354554872f972f,2-firexport_basic_1789247966014.csv,10,legacy,reference,distilgpt2,squad,23,2,2,1,1,64,0.25,,,False,6,3,3,0,3,0,3,0.0,0.0,0.5,0.0,1.0,True,6
0cb8a77d9f76851e,2-firexport_basic_1789247966014.csv,12,legacy,min_k_plus_plus,distilgpt2,squad,7,2,2,1,1,256,-3.25,,,False,6,3,3,3,0,3,0,1.0,1.0,0.5,0.0,0.6666666666666666,True,6
0f6b99dd08d56ce5,2-firexport_basic_1789247966014.csv,14,legacy,min_k_plus_plus,distilgpt2,hotpot_qa,7,2,2,1,1,64,-3.25,,,False,6,3,3,3,0,3,0,1.0,1.0,0.5,0.0,0.6666666666666666,True,6
0fb07ce5f553ac7c,2-firexport_basic_1789247966014.csv,15,legacy,samia,distilgpt2,medical_medquad,7,2,2,1,1,64,0.5,,,False,6,3,3,0,3,0,3,0.0,0.0,0.5,0.0,0.3333333333333333,True,6
102f48588eb27581,2-firexport_basic_1789247966014.csv,16,legacy,samia,distilgpt2,squad,7,2,2,1,4,64,0.5,,,False,6,3,3,0,3,0,3,0.0,0.0,0.5,0.0,0.5555555555555556,True,3
119a5733930b1681,2-firexport_basic_1789247966014.csv,17,legacy,recall,distilgpt2,squad,7,2,2,1,1,128,1.05,,,False,6,3,3,2,1,2,1,0.6666666666666666,0.6666666666666666,0.5,0.0,0.6666666666666666,False,6
13034902093c0819,2-firexport_basic_1789247966014.csv,18,legacy,zlib,distilgpt2,squad,7,2,2,1,1,256,-0.0058,,,False,6,3,3,1,2,1,2,0.3333333333333333,0.3333333333333333,0.5,0.0,0.6666666666666666,False,6
14a08d47f9c5e4bf,2-firexport_basic_1789247966014.csv,19,legacy,reference,distilgpt2,squad,11,2,2,1,1,64,0.25,,,False,6,3,3,3,0,0,3,1.0,0.0,1.0,1.0,1.0,False,6
160b73ff70a971b9,2-firexport_basic_1789247966014.csv,20,legacy,min_k,distilgpt2,squad,101,2,2,1,1,64,-4.08,,,False,6,3,3,0,3,0,3,0.0,0.0,0.5,0.0,0.8888888888888888,True,6
