run_id,source_file,source_row,version,attack_name,fl_trial_id,condition,rag_attack,membership_target,defense,n,members,nonmembers,tp,fn,fp,tn,tpr,fpr,balanced_accuracy,advantage,auc,constant_prediction,unique_scores,exact_match,answer_nll,token_f1,recognized,hidden_document_queries
pipeline_v1_51d0239eec7fb0d6d9c1b82c,2-firexport_basic_1789247966014.csv,265,pipeline_v1,min_k_plus_plus,0,private_mirabel,anderson2024_black_box,retrieval_document,dp_sgd,4,2,2,0,2,0,2,0.0,0.0,0.5,0.0,0.5,True,1,0,10.811789512634277,0,0,2
pipeline_v1_51d0239eec7fb0d6d9c1b82c,2-firexport_basic_1789247966014.csv,265,pipeline_v1,min_k_plus_plus,0,public_ordinary,anderson2024_black_box,retrieval_document,dp_sgd,4,2,2,0,2,0,2,0.0,0.0,0.5,0.0,0.5,True,1,0,10.817791938781738,0,0,0
pipeline_v1_51d0239eec7fb0d6d9c1b82c,2-firexport_basic_1789247966014.csv,265,pipeline_v1,min_k_plus_plus,1,private_ordinary,anderson2024_black_box,retrieval_document,dp_sgd,4,2,2,0,2,0,2,0.0,0.0,0.5,0.0,0.5,True,1,0,10.811789512634277,0,0,0
pipeline_v1_51d0239eec7fb0d6d9c1b82c,2-firexport_basic_1789247966014.csv,265,pipeline_v1,min_k_plus_plus,1,public_mirabel,anderson2024_black_box,retrieval_document,dp_sgd,4,2,2,0,2,0,2,0.0,0.0,0.5,0.0,0.5,True,1,0,10.817772388458252,0,0,5
pipeline_v1_51d0239eec7fb0d6d9c1b82c,2-firexport_basic_1789247966014.csv,265,pipeline_v1,min_k_plus_plus,1,private_mirabel,anderson2024_black_box,retrieval_document,dp_sgd,4,2,2,0,2,0,2,0.0,0.0,0.5,0.0,0.5,True,1,0,10.811789512634277,0,0,2
pipeline_v1_51d0239eec7fb0d6d9c1b82c,2-firexport_basic_1789247966014.csv,265,pipeline_v1,min_k_plus_plus,1,public_ordinary,anderson2024_black_box,retrieval_document,dp_sgd,4,2,2,0,2,0,2,0.0,0.0,0.5,0.0,0.5,True,1,0,10.81777286529541,0,0,0
pipeline_v1_65f6a1dba98035ef0f4b972a,2-firexport_basic_1789247966014.csv,272,pipeline_v1,min_k,0,public_mirabel,anderson2024_black_box,retrieval_document,dp_fedavg,4,2,2,0,2,0,2,0.0,0.0,0.5,0.0,0.5,True,1,0,11.566290855407715,0,0,5
pipeline_v1_65f6a1dba98035ef0f4b972a,2-firexport_basic_1789247966014.csv,272,pipeline_v1,min_k,0,public_ordinary,anderson2024_black_box,retrieval_document,dp_fedavg,4,2,2,0,2,0,2,0.0,0.0,0.5,0.0,0.5,True,1,0,11.566290378570557,0,0,0
pipeline_v1_65f6a1dba98035ef0f4b972a,2-firexport_basic_1789247966014.csv,272,pipeline_v1,min_k,0,private_ordinary,anderson2024_black_box,retrieval_document,dp_fedavg,4,2,2,0,2,0,2,0.0,0.0,0.5,0.0,0.5,True,1,0,10.587006092071533,0,0,0
pipeline_v1_65f6a1dba98035ef0f4b972a,2-firexport_basic_1789247966014.csv,272,pipeline_v1,min_k,0,private_mirabel,anderson2024_black_box,retrieval_document,dp_fedavg,4,2,2,0,2,0,2,0.0,0.0,0.5,0.0,0.5,True,1,0,10.587006092071533,0,0,2
pipeline_v1_65f6a1dba98035ef0f4b972a,2-firexport_basic_1789247966014.csv,272,pipeline_v1,min_k,1,private_mirabel,anderson2024_black_box,retrieval_document,dp_fedavg,4,2,2,0,2,0,2,0.0,0.0,0.5,0.0,0.5,True,1,0,10.839383125305176,0,0,2
pipeline_v1_65f6a1dba98035ef0f4b972a,2-firexport_basic_1789247966014.csv,272,pipeline_v1,min_k,1,public_ordinary,anderson2024_black_box,retrieval_document,dp_fedavg,4,2,2,0,2,0,2,0.0,0.0,0.5,0.0,0.5,True,1,0,11.607952117919922,0,0,0
pipeline_v1_65f6a1dba98035ef0f4b972a,2-firexport_basic_1789247966014.csv,272,pipeline_v1,min_k,1,public_mirabel,anderson2024_black_box,retrieval_document,dp_fedavg,4,2,2,0,2,0,2,0.0,0.0,0.5,0.0,0.5,True,1,0,11.607952117919922,0,0,5
pipeline_v1_65f6a1dba98035ef0f4b972a,2-firexport_basic_1789247966014.csv,272,pipeline_v1,min_k,1,private_ordinary,anderson2024_black_box,retrieval_document,dp_fedavg,4,2,2,0,2,0,2,0.0,0.0,0.5,0.0,0.5,True,1,0,10.839383125305176,0,0,0
